track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_length
5lnsCyEKWofnC00U4Ax0ti,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,4,219.306
60RWYBk24Z6lHxMcWD0oh0,0.685,0.61,0,-5.221,0,0.0439,0.323,0.0,0.102,0.323,94.384,3,186.467
0k2GOhqsrxDTAbFFSdNJjT,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,4,218.573
3CJvmtWw2bJsudbAC5uCQk,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44e-06,0.342,0.466,111.016,4,200.68
7pJgjBf82BrUQ3z7HdQvW1,0.619,0.786,7,-4.938,0,0.0397,0.049,0.0,0.142,0.628,83.048,4,227.36
4Fng3qFllLfIrW9mmek8ru,0.643,0.883,10,-4.324,1,0.0382,0.0279,2.9e-05,0.0459,0.961,90.01,4,253.733
1WP1r7fuvRqZRnUaTi2I1Q,0.746,0.754,1,-6.681,1,0.067,0.0152,0.0,0.0486,0.764,149.882,4,206.88
7crplFzt7spG80NCbpmuCp,0.657,0.769,9,-4.591,0,0.115,0.123,0.0,0.245,0.712,113.966,4,223.827
2oOssCqBMGu1bXSFF8DQyf,0.626,0.524,3,-5.944,1,0.0422,0.0127,0.0,0.099,0.56,84.865,4,180.4
2BFONLnYqdPPnSoyuzXHIy,0.54,0.596,9,-6.331,1,0.164,0.437,0.0,0.138,0.53,181.678,4,201.44
5MSBETwEBIMwv5bmWSGmO8,0.818,0.599,9,-6.288,1,0.0605,0.219,0.0,0.0702,0.724,116.977,4,199.187
1zKuqri2rJxxr400ufB6vE,0.689,0.606,0,-6.305,1,0.327,0.356,0.0,0.0997,0.0974,79.029,4,300.973
5WfhXulggG0c6WoVeMPA8N,0.648,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.02,4,219.2
3KhIpPRbkjr3p1eJkD51dj,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,4,230.467
3IU6xbfNZosvTdRrGs8b2u,0.738,0.517,8,-7.364,1,0.13,0.143,0.0,0.163,0.357,79.995,4,218.88
6lvsJDZ7336YmpBzcNGhbe,0.52,0.513,7,-7.208,1,0.0256,0.281,0.0,0.0976,0.17,77.903,4,202.213
1YjnEtzEg7D1wwQFhO30Gp,0.382,0.577,5,-4.254,1,0.047,0.01,1.4e-05,0.433,0.156,113.071,4,348.625
